state_code,state_name,year,month,period,total_cases,known_nonnegative_cases,cases_negative_delay,cases_same_day,cases_1_10,cases_11_20,cases_21_30,cases_31_40,cases_41_50,cases_51_60,cases_61_90,cases_91_120,cases_121_300,cases_301_365,cases_within_60,cases_over_60,cases_over_120,pct_over_60,pct_over_120
11,Rondônia,2025,12,2025-12,163,163,0,4,13,15,19,13,16,13,24,14,31,1,93,70,32,0.4294478527607362,0.19631901840490798
12,Acre,2025,12,2025-12,62,62,0,7,5,4,2,7,6,6,7,9,9,0,37,25,9,0.4032258064516129,0.14516129032258066
13,Amazonas,2025,12,2025-12,12,12,0,0,4,1,1,0,0,3,1,0,2,0,9,3,2,0.25,0.16666666666666666
14,Roraima,2025,12,2025-12,7,7,0,1,1,0,0,1,1,1,0,1,1,0,5,2,1,0.2857142857142857,0.14285714285714285
15,Pará,2025,12,2025-12,383,382,1,166,12,16,14,10,12,4,26,30,89,3,234,148,92,0.387434554973822,0.24083769633507854
16,Amapá,2025,12,2025-12,5,5,0,2,1,0,1,1,0,0,0,0,0,0,5,0,0,0.0,0.0
17,Tocantins,2025,12,2025-12,113,113,0,11,5,4,4,5,8,6,27,12,29,2,43,70,31,0.6194690265486725,0.2743362831858407
21,Maranhão,2025,12,2025-12,241,241,0,78,13,8,47,9,7,6,23,18,32,0,168,73,32,0.3029045643153527,0.13278008298755187
22,Piauí,2025,12,2025-12,203,203,0,43,11,11,16,28,15,12,25,12,29,1,136,67,30,0.33004926108374383,0.1477832512315271
23,Ceará,2025,12,2025-12,341,333,8,194,21,12,13,8,12,5,27,15,25,1,265,68,26,0.2042042042042042,0.07807807807807808
24,Rio Grande do Norte,2025,12,2025-12,549,549,0,292,13,20,28,19,30,19,47,34,42,5,421,128,47,0.2331511839708561,0.08561020036429873
25,Paraíba,2025,12,2025-12,179,177,2,117,4,3,5,7,3,5,12,8,13,0,144,33,13,0.1864406779661017,0.07344632768361582
26,Pernambuco,2025,12,2025-12,32,32,0,29,0,0,0,0,0,0,2,0,1,0,29,3,1,0.09375,0.03125
27,Alagoas,2025,12,2025-12,188,188,0,28,7,6,5,10,7,16,34,30,44,1,79,109,45,0.5797872340425532,0.2393617021276596
28,Sergipe,2025,12,2025-12,167,167,0,13,5,8,10,9,9,17,34,24,33,5,71,96,38,0.5748502994011976,0.2275449101796407
29,Bahia,2025,12,2025-12,630,630,0,66,16,15,32,24,38,39,104,77,209,10,230,400,219,0.6349206349206349,0.3476190476190476
31,Minas Gerais,2025,12,2025-12,1661,1659,2,127,51,80,119,129,151,132,333,186,328,23,789,870,351,0.5244122965641953,0.2115732368896926
32,Espírito Santo,2025,12,2025-12,394,394,0,51,12,17,13,34,39,43,65,33,85,2,209,185,87,0.46954314720812185,0.22081218274111675
33,Rio de Janeiro,2025,12,2025-12,927,918,9,61,19,17,38,57,49,54,172,138,285,28,295,623,313,0.6786492374727668,0.340958605664488
35,São Paulo,2025,12,2025-12,2501,2498,3,390,118,124,158,180,183,147,433,288,447,30,1300,1198,477,0.4795836669335468,0.1909527622097678
41,Paraná,2025,12,2025-12,1241,1240,1,217,137,92,102,104,105,64,161,104,148,6,821,419,154,0.3379032258064516,0.12419354838709677
42,Santa Catarina,2025,12,2025-12,441,441,0,110,21,21,21,26,20,24,52,35,52,59,243,198,111,0.4489795918367347,0.25170068027210885
43,Rio Grande do Sul,2025,12,2025-12,1159,1157,2,174,60,78,79,88,93,93,191,100,192,9,665,492,201,0.42523768366465,0.17372515125324114
50,Mato Grosso do Sul,2025,12,2025-12,188,188,0,17,22,19,19,7,20,11,29,21,22,1,115,73,23,0.3882978723404255,0.12234042553191489
51,Mato Grosso,2025,12,2025-12,370,370,0,189,8,16,17,18,18,15,34,18,36,1,281,89,37,0.24054054054054055,0.1
52,Goiás,2025,12,2025-12,343,343,0,196,11,5,11,10,14,7,28,25,33,3,254,89,36,0.2594752186588921,0.10495626822157435
53,Distrito Federal,2025,12,2025-12,155,154,1,45,9,3,6,10,8,6,22,8,32,5,87,67,37,0.43506493506493504,0.24025974025974026
,Total,2025,12,2025-12,12655,12626,29,2628,599,595,780,814,864,748,1913,1240,2249,196,7028,5598,2445,0.44337082211309997,0.1936480278789799
