"UF da residência";" -30 dias a -1 dia";"mesmo dia (tempo 0 dia)";"1 a 10 dias";"11 a 20 dias";"21 a 30 dias";"31 a 40 dias";"41 a 50 dias";"51 a 60 dia";"61 a 90 dias";"91 a 120 dias";"121 dias a 300 dias";"301 dias a 365 dias";" Total"
"11 Rondônia";"0";"4";"13";"15";"19";"13";"16";"13";"24";"14";"31";"1";"163"
"12 Acre";"0";"7";"5";"4";"2";"7";"6";"6";"7";"9";"9";"0";"62"
"13 Amazonas";"0";"0";"4";"1";"1";"0";"0";"3";"1";"0";"2";"0";"12"
"14 Roraima";"0";"1";"1";"0";"0";"1";"1";"1";"0";"1";"1";"0";"7"
"15 Pará";"1";"166";"12";"16";"14";"10";"12";"4";"26";"30";"89";"3";"383"
"16 Amapá";"0";"2";"1";"0";"1";"1";"0";"0";"0";"0";"0";"0";"5"
"17 Tocantins";"0";"11";"5";"4";"4";"5";"8";"6";"27";"12";"29";"2";"113"
"21 Maranhão";"0";"78";"13";"8";"47";"9";"7";"6";"23";"18";"32";"0";"241"
"22 Piauí";"0";"43";"11";"11";"16";"28";"15";"12";"25";"12";"29";"1";"203"
"23 Ceará";"8";"194";"21";"12";"13";"8";"12";"5";"27";"15";"25";"1";"341"
"24 Rio Grande do Norte";"0";"292";"13";"20";"28";"19";"30";"19";"47";"34";"42";"5";"549"
"25 Paraíba";"2";"117";"4";"3";"5";"7";"3";"5";"12";"8";"13";"0";"179"
"26 Pernambuco";"0";"29";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"32"
"27 Alagoas";"0";"28";"7";"6";"5";"10";"7";"16";"34";"30";"44";"1";"188"
"28 Sergipe";"0";"13";"5";"8";"10";"9";"9";"17";"34";"24";"33";"5";"167"
"29 Bahia";"0";"66";"16";"15";"32";"24";"38";"39";"104";"77";"209";"10";"630"
"31 Minas Gerais";"2";"127";"51";"80";"119";"129";"151";"132";"333";"186";"328";"23";"1661"
"32 Espírito Santo";"0";"51";"12";"17";"13";"34";"39";"43";"65";"33";"85";"2";"394"
"33 Rio de Janeiro";"9";"61";"19";"17";"38";"57";"49";"54";"172";"138";"285";"28";"927"
"35 São Paulo";"3";"390";"118";"124";"158";"180";"183";"147";"433";"288";"447";"30";"2501"
"41 Paraná";"1";"217";"137";"92";"102";"104";"105";"64";"161";"104";"148";"6";"1241"
"42 Santa Catarina";"0";"110";"21";"21";"21";"26";"20";"24";"52";"35";"52";"59";"441"
"43 Rio Grande do Sul";"2";"174";"60";"78";"79";"88";"93";"93";"191";"100";"192";"9";"1159"
"50 Mato Grosso do Sul";"0";"17";"22";"19";"19";"7";"20";"11";"29";"21";"22";"1";"188"
"51 Mato Grosso";"0";"189";"8";"16";"17";"18";"18";"15";"34";"18";"36";"1";"370"
"52 Goiás";"0";"196";"11";"5";"11";"10";"14";"7";"28";"25";"33";"3";"343"
"53 Distrito Federal";"1";"45";"9";"3";"6";"10";"8";"6";"22";"8";"32";"5";"155"
"Total";"29";"2628";"599";"595";"780";"814";"864";"748";"1913";"1240";"2249";"196";"12655"
